name,gender,probability
Jean-François,male,0.98
François,male,1.0
Jean,female,0.72
Jean-François,male,0.98
François,male,1.0
François,male,1.0
Philippe,male,1.0
François,male,1.0
Jean,female,0.72
Jean,female,0.72
Gérard,male,1.0
François,male,1.0
François,male,1.0
François,male,1.0
François,male,1.0
Olivier,male,1.0
Jean,female,0.72
Louis,male,1.0
Richard,male,1.0
Jean,female,0.72
Jean,female,0.72
Jean,female,0.72
Louise,female,1.0
Roger,male,1.0
Roger,male,1.0
Roger,male,1.0
Anny,female,0.99
Dominique,male,0.56
Anny,female,0.99
Télémaque,male,1.0
Dominique,male,0.56
Dominique,male,0.56
Dominique,male,0.56
Dominique,male,0.56
Nicolas,male,1.0
Marx,male,0.92
Bernadette,female,1.0
Bernadette,female,1.0
Valls,male,0.72
Carlos,male,1.0
Francis,male,0.94
Da,male,0.51
Julien,male,0.99
Julien,male,0.99
Carlos,male,1.0
Dray,male,0.96
Laurence,male,0.6
Nicolas,male,1.0
Laurence,male,0.6
Bussereau,None,0.0
Jean-Luc,male,1.0
Jean-Pierre,male,1.0
Jean-Marie,female,0.63
Sophie,female,0.99
Pierre-François,male,1.0
Olivier,male,1.0
Nathalie,female,0.99
Dimitri,male,1.0
Catherine,female,1.0
Daniel,male,1.0
Cohen,male,0.96
Jia,female,0.65
Howard,male,1.0
Barack,male,0.98
Chris,male,0.92
Hervé,male,1.0
Patrice,female,0.71
Patrice,female,0.71
Patrice,female,0.71
Coquerel,male,0.57
Coquerel,male,0.57
Eric,male,1.0
Grond,male,0.8
Grond,male,0.8
Grond,male,0.8
Eric,male,1.0
Penchard,None,0.0
Marie-Luce,female,0.95
Penchard,None,0.0
Penchard,None,0.0
Penchard,None,0.0
Saïd,male,1.0
Saïd,male,1.0
Didier,male,0.99
Didier,male,0.99
Didier,male,0.99
Didier,male,0.99
Nicolas,male,1.0
Pébereau,None,0.0
Tepa,female,0.5
Tepa,female,0.5
Didier,male,0.99
Didier,male,0.99
Didier,male,0.99
Didier,male,0.99
Didier,male,0.99
Pearson,male,0.9
Nicolas,male,1.0
Emmanuel,male,1.0
Aubry,male,0.68
Sarkozy,male,0.95
Aubry,male,0.68
Ali,male,0.94
Aubry,male,0.68
Aubry,male,0.68
Michel,male,0.97
Aubry,male,0.68
Taoufik,male,0.98
Brik,male,0.96
Bernard,male,0.99
Bauer,male,0.94
Philippe,male,1.0
Philippe,male,1.0
Barack,male,0.98
Henri,male,0.98
Elisabeth,female,1.0
Henri,male,0.98
Tony,male,1.0
Pierre,male,1.0
Claire,female,1.0
Daniela,female,1.0
Lellouche,male,0.81
Pierre,male,1.0
Vogel,male,0.68
Vogel,male,0.68
Claude,male,0.97
Claude,male,0.97
Barack,male,0.98
Lars,male,1.0
Nicolas,male,1.0
Malek,male,0.95
Martine,female,0.98
Martine,female,0.98
François,male,1.0
Martine,female,0.98
Martine,female,0.98
François,male,1.0
François,male,1.0
Jean-François,male,0.98
Thierry,male,0.99
Philippe,male,1.0
Bernard,male,0.99
Bernard,male,0.99
Michel,male,0.97
Michel,male,0.97
Françoise,female,1.0
Françoise,female,1.0
Françoise,female,1.0
Marie-Laure,female,0.98
Arnaud,male,0.99
Arnaud,male,0.99
Arnaud,male,0.99
Joaquin,male,1.0
Jean-Claude,male,1.0
Olivier,male,1.0
Joseph,male,1.0
Albert,male,1.0
Albert,male,1.0
Pasqua,female,0.89
Pasqua,female,0.89
Alain,male,1.0
Sarkozy,male,0.95
Nicolas,male,1.0
Christian,male,1.0
François,male,1.0
Roland,male,1.0
Pierre,male,1.0
Annick,female,0.99
Carl,male,1.0
Carl,male,1.0
Annick,female,0.99
Carl,male,1.0
Pierre,male,1.0
Robert,male,1.0
Pauleta,male,0.56
Richard,male,1.0
Nicolas,male,1.0
Philippe,male,1.0
Jean-Pierre,male,1.0
Frédéric,male,1.0
Frédéric,male,1.0
Racha,female,0.96
Ehoud,female,0.5
Hassan,male,0.99
Cheikh,male,0.98
Olivier,male,1.0
Stéphane,male,0.93
Arthus,male,0.98
Jean-François,male,0.98
Eric,male,1.0
Alain,male,1.0
Cem,male,0.97
Franck,male,0.99
Franck,male,0.99
Arlette,female,0.99
Roland,male,1.0
Nicolas,male,1.0
Gaborski,None,0.0
Kerski,None,0.0
Rainer,male,0.99
Wieczorek,male,0.63
Gaborski,None,0.0
Jean-Luc,male,1.0
Jack,male,1.0
Vincent,male,1.0
Arnaud,male,0.99
Pierre,male,1.0
Corinne,female,0.99
François,male,1.0
François,male,1.0
François,male,1.0
François,male,1.0
Elise,female,0.99
Nicolas,male,1.0
Nicolas,male,1.0
Nicolas,male,1.0
Anne,female,1.0
Yasmine,female,0.99
Ahmadinejad,male,1.0
Trita,male,0.63
Ali,male,0.94
Obama,male,0.95
Azadeh,female,1.0
Monique,female,1.0
Monique,female,1.0
Monique,female,1.0
Marc,male,1.0
Marc,male,1.0
Monique,female,1.0
Bernard,male,0.99
George,male,1.0
Menayas,None,0.0
Claude,male,0.97
Nautilus,male,0.93
Olivier,male,1.0
Nicolas,male,1.0
Menayas,None,0.0
Menayas,None,0.0
Menayas,None,0.0
Menayas,None,0.0
Pedro,male,1.0
Brice,male,0.99
Philippe,male,1.0
Menayas,None,0.0
Azadeh,female,1.0
Jacques,male,0.98
Josette,female,0.99
Claude,male,0.97
Claude,male,0.97
Chirac,male,0.83
Nicolas,male,1.0
Sandrine,female,0.99
Leclerc,male,0.59
Morteza,male,0.98
Nicolas,male,1.0
Ebadi,male,1.0
François,male,1.0
Romain,male,0.99
Stefaniak,male,0.8
Leblanc,male,0.7
Stefaniak,male,0.8
Pierre,male,1.0
Stefaniak,male,0.8
Stefaniak,male,0.8
Andreassian,None,0.0
Andreassian,None,0.0
Stefaniak,male,0.8
Stefaniak,male,0.8
Stefaniak,male,0.8
Georges,male,0.99
Jean-Paul,male,1.0
Giuseppe,male,1.0
Le,male,0.79
Michel,male,0.97
Pierre,male,1.0
Hossein,male,1.0
Fariba,female,1.0
Etemad,male,0.8
Mahmoud,male,1.0
Moussavi,male,1.0
Moussavi,male,1.0
Sissiko,None,0.0
Patrick,male,1.0
Patrick,male,1.0
Patrick,male,1.0
Patrick,male,1.0
Sissiko,None,0.0
Olivier,male,1.0
Darcos,male,0.63
Etienne,male,0.98
Augustin,male,0.99
Nicolas,male,1.0
Patricia,female,1.0
Augustin,male,0.99
Jonathan,male,1.0
Jonathan,male,1.0
Serge,male,1.0
Daniel,male,1.0
Serge,male,1.0
Serge,male,1.0
Nicolas,male,1.0
Pierre-François,male,1.0
Alain,male,1.0
Jérôme,male,1.0
Leïla,female,1.0
Luc,male,0.99
François,male,1.0
Alain,male,1.0
Éric,male,1.0
Michel,male,0.97
Imad,male,0.99
Michel,male,0.97
Michel,male,0.97
Dominique,male,0.56
Michel,male,0.97
Michel,male,0.97
François,male,1.0
Nicolas,male,1.0
Nicolas,male,1.0
Nicolas,male,1.0
Pierre-François,male,1.0
Pierre,male,1.0
Grond,male,0.8
Laurent,male,0.99
Jules,male,0.88
Bill,male,1.0
David,male,1.0
Adeno,male,1.0
Maître,female,1.0
Martine,female,0.98
Verdier,male,0.7
Anne,female,1.0
Barack,male,0.98
Barack,male,0.98
Trevor,male,1.0
Amartya,male,1.0
Bernard,male,0.99
Bernard,male,0.99
François,male,1.0
François,male,1.0
Jean-François,male,0.98
Djamel,male,0.98
Mohammed,male,1.0
Samraoui,male,1.0
Abdelkader,male,0.98
Abdelkader,male,0.98
Pierre,male,1.0
Nicolas,male,1.0
Jean,female,0.72
François,male,1.0
Fillon,male,0.61
Gintaras,male,1.0
Gintaras,male,1.0
Leonora,female,1.0
Trichet,male,0.67
Nicolas,male,1.0
Haaretz,male,1.0
Nicolas,male,1.0
Marc,male,1.0
Salam,male,0.75
Guy,male,1.0
Eyermann,female,1.0
Guy,male,1.0
Eric,male,1.0
Metzner,female,0.8
Jérôme,male,1.0
Jérôme,male,1.0
Declerck,male,0.53
Declerck,male,0.53
Laurent,male,0.99
Renée,female,0.98
Nicolas,male,1.0
Nicolas,male,1.0
Sarkozy,male,0.95
Jacques,male,0.98
Luc,male,0.99
Félix,male,1.0
Félix,male,1.0
Irene,female,1.0
Yann,male,0.99
Jeanne,female,1.0
Hélène,female,1.0
Yann,male,0.99
Maury,male,0.92
Philippe,male,1.0
Jean-François,male,0.98
Corinne,female,0.99
Christophe,male,1.0
Christophe,male,1.0
Jean-François,male,0.98
Corinne,female,0.99
Corinne,female,0.99
Alain,male,1.0
Ellen,female,1.0
Ian,male,1.0
François,male,1.0
François,male,1.0
Miles,male,0.99
Bill,male,1.0
Miles,male,0.99
Tom,male,1.0
Hamid,male,0.99
Haroun,male,0.99
Bruno,male,1.0
Boutin,male,0.51
Nicolas,male,1.0
Villiers,male,0.77
Xavier,male,1.0
Brice,male,0.99
Nicolas,male,1.0
Michel,male,0.97
Michel,male,0.97
Stefaan,male,0.99
Lord,male,0.99
Gracelyn,female,1.0
Isaac,male,1.0
Isaac,male,1.0
Gracelyn,female,1.0
Wissam,male,0.94
Joshua,male,1.0
Thomas,male,1.0
Frédéric,male,1.0
Jean-Pierre,male,1.0
Lech,male,1.0
Fischer,male,0.92
Nicolas,male,1.0
Nicolas,male,1.0
Nicolas,male,1.0
Van,male,0.67
président,male,1.0
président,male,1.0
Van,male,0.67
Bousquet,male,0.55
Bousquet,male,0.55
Bousquet,male,0.55
Bousquet,male,0.55
Bousquet,male,0.55
Roselyne,female,0.99
Roselyne,female,0.99
Eric,male,1.0
Jean-Marc,male,1.0
Pierre,male,1.0
Pierre,male,1.0
Vincent,male,1.0
Vincent,male,1.0
Vincent,male,1.0
Dirk,male,1.0
Imad,male,0.99
Gergorin,female,1.0
Dominique,male,0.56
Bush,male,0.96
Romer,male,0.99
Keynes,male,0.93
Marie-George,female,1.0
Marie-George,female,1.0
Pierre-François,male,1.0
Pierre-François,male,1.0
Dartigolles,female,1.0
Grond,male,0.8
Grond,male,0.8
Philippe,male,1.0
Louis,male,1.0
Hervé,male,1.0
Hervé,male,1.0
Bruno,male,1.0
Bruno,male,1.0
Richard,male,1.0
Richard,male,1.0
Richard,male,1.0
Richard,male,1.0
Nadia,female,0.99
Richard,male,1.0
Jean,female,0.72
Richard,male,1.0
Monique,female,1.0
Jean,female,0.72
Jean,female,0.72
Richard,male,1.0
Steven,male,1.0
Stephen,male,1.0
embourser,None,0.0
Kenneth,male,1.0
Madelin,female,1.0
Fedida,male,0.67
Fedida,male,0.67
Fedida,male,0.67
Jean-Marc,male,1.0
Jean-Marc,male,1.0
Nicolas,male,1.0
Napoléon,male,1.0
Hélène,female,1.0
Olivier,male,1.0
Olivier,male,1.0
Olivier,male,1.0
Karim,male,0.99
Roger,male,1.0
Gergorin,female,1.0
Villepin,male,1.0
Dominique,male,0.56
Villepin,male,1.0
Jean-Claude,male,1.0
Villepin,male,1.0
Jacques,male,0.98
Jacques,male,0.98
Dominique,male,0.56
Nicolas,male,1.0
Brice,male,0.99
Brice,male,0.99
Pierre,male,1.0
Elisabeth,female,1.0
Brice,male,0.99
Nicolas,male,1.0
Herzog,male,0.75
Herzog,male,0.75
Herzog,male,0.75
Imad,male,0.99
Imad,male,0.99
Herzog,male,0.75
Nicolas,male,1.0
Herzog,male,0.75
Xavier,male,1.0
Valérie,female,0.98
Christophe,male,1.0
Christophe,male,1.0
Bernard,male,0.99
Pierre,male,1.0
Andry,male,0.88
Ravalomanana,None,0.0
Jean,female,0.72
Jean-Michel,male,1.0
Jean,female,0.72
Jean,female,0.72
Bénédicte,female,1.0
Guy,male,1.0
Guy,male,1.0
Mélenchon,None,0.0
Besancenot,male,1.0
Besancenot,male,1.0
Mélenchon,None,0.0
Mélenchon,None,0.0
Roland,male,1.0
Roland,male,1.0
Franck,male,0.99
Cécile,female,1.0
Cécile,female,1.0
Didier,male,0.99
Didier,male,0.99
Nicolas,male,1.0
Roland,male,1.0
Reed,male,1.0
Patrick,male,1.0
Patrick,male,1.0
Yves,male,0.98
Marin,male,0.75
Nicolas,male,1.0
Bernard,male,0.99
Paugam,male,0.54
Serge,male,1.0
Bernard,male,0.99
Bernard,male,0.99
Bernard,male,0.99
Xavier,male,1.0
Xavier,male,1.0
Damien,male,1.0
Nicolas,male,1.0
Geraint,male,0.99
Richard,male,1.0
Gilles,male,1.0
Will,male,1.0
Mark,male,1.0
Gordon,male,1.0
Gordon,male,1.0
Richard,male,1.0
Laurence,male,0.6
Valérie,female,0.98
Isabelle,female,0.99
Daniel,male,1.0
Daniel,male,1.0
Valérie,female,0.98
Pouzilhac,None,0.0
Alain,male,1.0
Jérome,male,1.0
Dominique,male,0.56
Régis,male,1.0
Régis,male,1.0
François,male,1.0
Mickaël,male,1.0
Mickaël,male,1.0
Régis,male,1.0
Domota,male,1.0
Marie-Antoinette,female,0.99
Jacques,male,0.98
Nicolas,male,1.0
David,male,1.0
Michaël,male,1.0
Gilles,male,1.0
Thierry,male,0.99
Michaël,male,1.0
Michaël,male,1.0
Michaël,male,1.0
Xavier,male,1.0
Xavier,male,1.0
Xavier,male,1.0
Jean-Xavier,male,1.0
Arnaud,male,0.99
Gilles,male,1.0
président,male,1.0
Nicolas,male,1.0
Jean-Yves,male,0.99
Nicolas,male,1.0
Alain,male,1.0
Nicolas,male,1.0
Jean,female,0.72
Xavier,male,1.0
François,male,1.0
François,male,1.0
François,male,1.0
Claude,male,0.97
Justin,male,1.0
Patricia,female,1.0
Patricia,female,1.0
Dominique,male,0.56
Patricia,female,1.0
Julien,male,0.99
Marie,female,0.99
Patricia,female,1.0
Max,male,0.99
Mathieu,male,0.99
Mathieu,male,0.99
Pérol,None,0.0
Eric,male,1.0
Jean-Christophe,male,1.0
Pierre,male,1.0
Nicolas,male,1.0
Nicolas,male,1.0
Super-pro,None,0.0
Gary,male,1.0
Lyonel,male,0.99
Gary,male,1.0
Orelsan,male,0.7
Maurice,male,1.0
Frédéric,male,1.0
Obama,male,0.95
Satan,male,0.86
Obama,male,0.95
Obama,male,0.95
Ronald,male,1.0
Dany,male,0.73
Steeve,male,0.99
Marine,female,0.96
Marie-Noëlle,female,1.0
Lionel,male,1.0
Louise,female,1.0
David,male,1.0
Steeve,male,0.99
Steeve,male,0.99
David,male,1.0
Abdel,male,0.99
Marine,female,0.96
Abdel,male,0.99
Thomas,male,1.0
Thomas,male,1.0
Christelle,female,0.99
Laurent,male,0.99
Ahmed,male,0.99
Ahmed,male,0.99
tacite,male,0.64
Rémy,male,0.98
Lefebvre,male,0.56
Chalmin,female,0.5
Algernon,male,1.0
Pitts,male,0.81
Pitts,male,0.81
Krugman,male,1.0
maréchal,male,1.0
Lyautey,male,0.57
Medvedev,male,0.92
Zykina,female,1.0
Manuel,male,1.0
Coutaz,female,1.0
Cyril,male,0.99
Khost,None,0.0
Jospin,male,0.97
Brundtland,None,0.0
Jean-Bertrand,male,1.0
Giscard,male,0.99
Colette,female,1.0
Ahmet,male,0.98
Taraf,female,0.86
Halima,female,0.99
Michèle,female,1.0
Michèle,female,1.0
Jacqueline,female,1.0
Azouz,male,0.95
Mylène,female,1.0
Alan,male,1.0
Angélique,female,1.0
Ripert,male,1.0
Pierre-Victor,male,0.89
Pierre-Victor,male,0.89
Botton,male,0.69
Botton,male,0.69
Botton,male,0.69
Botton,male,0.69
James,male,1.0
Lynda,female,1.0
Lynda,female,1.0
Sari,female,0.94
William,male,1.0
Yvan,male,0.99
Jouanno,female,0.57
Muller,male,0.68
Fabienne,female,0.99
Fabienne,female,0.99
Aglietta,female,1.0
Sandra,female,1.0
Sandra,female,1.0
Pervenche,female,1.0
Pervenche,female,1.0
Bourdon,male,0.59
Bourdon,male,0.59
Bernanos,male,1.0
Souleymane,male,0.99
Cheick,male,0.99
Mans,male,0.94
Abakar,male,0.98
Cheick,male,0.99
Cheick,male,0.99
Cheick,male,0.99
Géraud,male,1.0
Sébastien,male,1.0
Rodrigo,male,1.0
Denis,male,0.97
Edouard,male,0.99
Edouard,male,0.99
Marie-Anne,female,0.99
Marie-Anne,female,0.99
Marie-Anne,female,0.99
Marie-Anne,female,0.99
Lazarsfeld,male,1.0
Shakir,male,0.97
Record,male,0.9
Antoine,male,1.0
Marcel,male,0.99
Karadumann,None,0.0
Baris,male,0.99
Mehmet,male,0.98
Norbert,male,1.0
Baudoin,male,0.78
Norbert,male,1.0
Adeliane,female,0.83
Monika,female,0.99
Monika,female,0.99
Hadas,female,0.99
Copé,None,0.0
Copé,None,0.0
Dan,male,0.99
Marco,male,1.0
Aurélien,male,1.0
Stefania,female,1.0
Aurélien,male,1.0
Aurélien,male,1.0
Samba,male,0.98
Jim,male,1.0
Alistair,male,1.0
Barzakh,male,1.0
Lenancker,male,1.0
Adelphe,male,0.85
Diana,female,1.0
Adelphe,male,0.85
Diana,female,1.0
Dick,male,1.0
Geneviève,female,1.0
Geneviève,female,1.0
Geneviève,female,1.0
Revet,female,0.83
Omar,male,1.0
Qaida,None,0.0
général,male,1.0
Bruni,female,0.66
Carla,female,1.0
Louis-Dreyfus,None,0.0
Nick,male,1.0
Razzy,male,0.82
Jean-Baptiste,male,1.0
JPMorgan,male,1.0
2\,None,0.0
Edmond,male,1.0
Cazeneuve,male,0.83
Trévidic,None,0.0
Fromion,male,1.0
Fromion,male,1.0
Balladur,male,0.88
Amalric,male,0.92
Wang,male,0.97
Guo,male,0.71
Sanlitun,None,0.0
Saber,male,0.98
Castoriadis,None,0.0
Winston,male,1.0
Piketty,None,0.0
Cristina,female,1.0
Rafael,male,1.0
Ernesto,male,1.0
Marcelo,male,1.0
Roberto,male,1.0
Susana,female,1.0
Roberto,male,1.0
Adrian,male,0.99
Lizu,female,0.79
Marcelo,male,1.0
Gabriel,male,1.0
Connie,female,1.0
Connie,female,1.0
Kallas,male,0.84
Prigogine,None,0.0
Amy,female,1.0
Barry,male,1.0
Isabel,female,1.0
José,male,1.0
Marcelino,male,1.0
Alfred,male,1.0
Alfred,male,1.0
Dédé,female,0.95
Gambetta,female,0.5
Grande-Duchesse,None,0.0
Noël,male,0.95
Alexandre,male,0.99
Alexandre,male,0.99
Eugène,male,1.0
Eugène,male,1.0
Ariane,female,1.0
Veil,male,0.67
Koné,male,1.0
Balladur,male,0.88
Balladur,male,0.88
Marcia,female,1.0
Marcia,female,1.0
Hortefeux,male,1.0
Mercier,male,0.6
Julian,male,1.0
Young,male,0.82
Julian,male,1.0
Julian,male,1.0
Artemije,male,1.0
Lassana,male,0.99
Rinaldo,male,1.0
Rinaldo,male,1.0
Latoundji,male,0.83
Gauvin,male,0.73
Ismaël,male,1.0
Valois,female,0.88
Latoundji,male,0.83
Bienaimé,None,0.0
Durand,male,0.81
Jean-Vincent,male,1.0
Denis,male,0.97
Pierre-Alain,male,1.0
Sawari,female,0.63
Durand,male,0.81
Rainfray,None,0.0
Choukri,male,0.9
Ayed,male,0.96
Président,male,1.0
Valéry,female,0.91
Yannick,male,0.98
Kader,male,0.79
Faouzi,male,0.98
Yannick,male,0.98
Yannick,male,0.98
Rebsamen,male,1.0
Sapin,female,0.51
Kader,male,0.79
Omar,male,1.0
Ingrid,female,1.0
Danièle,female,0.93
Samuel,male,1.0
Ingrid,female,1.0
Danièle,female,0.93
Omar,male,1.0
Noël,male,0.95
Péguy,None,0.0
Copé,None,0.0
Sacha,male,0.66
Thing,male,0.57
Donatien,male,0.99
Frédérique,female,0.96
Carole,female,0.99
Hoover,male,0.93
Hubert,male,0.99
Futhi,female,0.86
Sabine,female,0.99
Sami,male,0.95
Recep,male,0.97
Ahmet,male,0.98
Edouard,male,0.99
Chantal,female,0.99
Edgar,male,1.0
Guillaume,male,1.0
Brigitte,female,1.0
Clémentine,female,1.0
Schäuble,None,0.0
Lagarde,male,0.55
Lagarde,male,0.55
Victor,male,1.0
Marianne,female,1.0
Nouredine,male,0.98
Nouredine,male,0.98
Nouredine,male,0.98
Elizabeth,female,1.0
Elizabeth,female,1.0
Nouredine,male,0.98
Abdullah,male,0.99
Djénéba,female,1.0
Francine,female,1.0
Konaté,male,1.0
Liliane,female,1.0
Marie-Anne,female,0.99
Marie-Anne,female,0.99
Jean-René,male,0.96
Monika,female,0.99
Marisol,female,1.0
Sauvadet,male,0.75
Rocard,male,1.0
Denis,male,0.97
Kouchner,male,1.0
Flahaut,female,0.62
Flahaut,female,0.62
Flahaut,female,0.62
Brigitte,female,1.0
Asmahane,female,1.0
Marion,female,0.96
Fathi,male,0.98
Cendrine,female,0.97
Fathi,male,0.98
Jamel,male,0.97
Cendrine,female,0.97
Marion,female,0.96
